ID,Domain,Category,Risk factor — full description (L3),Poster label,Source(s),X-ref,Status,Superseded by
AIRM-142,9. Third-Party & Model Supply Chain,Vendor due diligence,"Inadequate vendor due diligence, including whether prompts and outputs are retained, used for training, or exposed to sub-processors","Vendor diligence missing: are prompts retained, trained on, or shared?",NIST GenAI #12; CRI GV-6.1.4; Original,,active,
AIRM-188,9. Third-Party & Model Supply Chain,Vendor due diligence,"No defined method to assess whether a vendor's claimed AI capability is real, secure, and fit for purpose: conventional vendor assurance says nothing about model behavior, and the buyer inherits whatever sits behind the claim",No way to verify a vendor's 'AI-powered' claim before buying it,CRI GV-6.1.1; Original,→10,active,
AIRM-143,9. Third-Party & Model Supply Chain,Vendor due diligence,Vendor viability risk in an unusually volatile provider market with frequent pivots and deprecations,Vendor viability risk in an unusually volatile provider market with frequent pivots and deprecations,Original,,active,
AIRM-144,9. Third-Party & Model Supply Chain,Vendor due diligence,Regulator / customer holding the firm responsible for the vendor's AI,Regulator / customer holding the firm responsible for the vendor's AI,EU Art 25 (amended 2026); Original,,active,
AIRM-145,9. Third-Party & Model Supply Chain,Lock-in & portability,Vendor / model lock-in limiting portability and leverage,Vendor / model lock-in limiting portability and leverage,Original,,active,
AIRM-146,9. Third-Party & Model Supply Chain,Lock-in & portability,High switching cost from proprietary APIs and fine-tuning,High switching cost from proprietary APIs and fine-tuning,Original,,active,
AIRM-147,9. Third-Party & Model Supply Chain,Lock-in & portability,"Lack of exit provisions, where fine-tunes, embeddings, and prompt assets do not transfer between providers","Lack of exit provisions, where fine-tunes, embeddings, and prompt assets do not transfer between providers",Cloud Risk Map analog; Original,,active,
AIRM-148,9. Third-Party & Model Supply Chain,Open-source component risk,Malicious or compromised open-source models / components,Malicious or compromised open-source models / components,OWASP LLM03; DASF 7.1,,active,
AIRM-149,9. Third-Party & Model Supply Chain,Open-source component risk,Unmaintained or vulnerable open-source AI dependencies,Unmaintained or vulnerable open-source AI dependencies,OWASP LLM03; DASF 5.4,,active,
AIRM-150,9. Third-Party & Model Supply Chain,Open-source component risk,"Opaque sub-processor chains, including models served behind a vendor's own API without disclosure","Opaque sub-processor chains, including models served behind a vendor's own API without disclosure",CRI GV-6.1.6; Original,,active,
AIRM-189,9. Third-Party & Model Supply Chain,Open-source component risk,"Model lineage undisclosed or unverifiable: the deployed model inherits weights, training data, or teacher-model traits its publisher label does not reveal, so an upstream flaw cannot be scoped to the models that descend from it","Model's true lineage hidden behind its publisher label, so upstream flaws can't be traced",OWASP AISVS 6.2; Cisco/VAIL provenance-entanglement research 2026; Original,→5,active,
AIRM-151,"10. Workforce, Human & Societal",Skills & talent,"Shortage of AI and AI-risk talent, competing against AI-native employers for scarce skills","Shortage of AI and AI-risk talent, competing against AI-native employers for scarce skills",Original,,active,
AIRM-152,"10. Workforce, Human & Societal",Skills & talent,"Inability to retain specialists, who leave taking undocumented model and prompt knowledge with them","Inability to retain specialists, who leave taking undocumented model and prompt knowledge with them",Cloud Risk Map analog; Original,,active,
AIRM-153,"10. Workforce, Human & Societal",Skills & talent,Inadequate AI literacy across the workforce and leadership,Inadequate AI literacy across the workforce and leadership,EU Art 4 (amended 2026); CRI GV-1.2.4; CSA AICM; Original,,active,
AIRM-154,"10. Workforce, Human & Societal",Deskilling & loss of institutional knowledge,Erosion of staff expertise through over-delegation to AI,Erosion of staff expertise through over-delegation to AI,MIT 5.2; Databricks AIGF; Original,,active,
AIRM-155,"10. Workforce, Human & Societal",Deskilling & loss of institutional knowledge,Loss of institutional knowledge as AI replaces human processes,Loss of institutional knowledge as AI replaces human processes,Original,,active,
AIRM-156,"10. Workforce, Human & Societal",Deskilling & loss of institutional knowledge,Capability atrophy — inability to operate if AI is unavailable,Capability atrophy — inability to operate if AI is unavailable,Original,,active,
AIRM-157,"10. Workforce, Human & Societal",Workforce disruption / change,"Change management underestimated — sponsorship, communication, and transition support for a change to the nature of the work itself, where capability keeps shifting mid-rollout",Change management underestimated as AI reshapes the work itself,Original,,active,
AIRM-158,"10. Workforce, Human & Societal",Workforce disruption / change,Workforce resistance or low adoption driven by displacement fear or distrust of AI output,Workforce resistance or low adoption driven by displacement fear or distrust of AI output,Original,,active,
AIRM-159,"10. Workforce, Human & Societal",Workforce disruption / change,Labor-relations and morale impacts of AI deployment,Labor-relations and morale impacts of AI deployment,MIT 6.2; Original,,active,
AIRM-160,"10. Workforce, Human & Societal",Societal & reputational,Reputational damage from a visible AI failure or misuse,Reputational damage from a visible AI failure or misuse,Databricks AIGF; Original,,active,
AIRM-161,"10. Workforce, Human & Societal",Societal & reputational,Erosion of customer / stakeholder trust in AI-mediated services,Erosion of customer / stakeholder trust in AI-mediated services,Databricks AIGF; Original,,active,
AIRM-162,"10. Workforce, Human & Societal",Societal & reputational,"Harm to non-users and third parties affected by AI decisions they did not initiate (decision subjects, bystanders, community)",Harm to decision subjects and bystanders who never chose to use the system,Shelby societal,,active,
AIRM-163,"10. Workforce, Human & Societal",Societal & reputational,"Overstating AI capability to customers, investors, or regulators (AI-washing), inviting enforcement and loss of trust","AI-washing: overstating capability to customers, investors, or regulators",Original,→8,active,
AIRM-164,11. Financial & Resource,Cost & compute economics,Runaway inference / training costs without FinOps discipline,Runaway inference / training costs without FinOps discipline,OWASP LLM10; Original,,active,
AIRM-165,11. Financial & Resource,Cost & compute economics,"Poor cost forecasting, because inference cost scales with usage rather than seats or provisioned capacity","Poor cost forecasting, because inference cost scales with usage rather than seats or provisioned capacity",Databricks AIGF; Original,,active,
AIRM-166,11. Financial & Resource,Cost & compute economics,Environmental / energy footprint of training and inference,Environmental / energy footprint of training and inference,NIST GenAI #5; Weidinger VI; MIT 6.6,,active,
AIRM-167,11. Financial & Resource,Investment / procurement,Stranded investment in failed or abandoned AI initiatives,Stranded investment in failed or abandoned AI initiatives,Databricks AIGF; Original,→2,active,
AIRM-168,11. Financial & Resource,Investment / procurement,"Procurement exposure where providers reprice tokens, tiers, or context windows unilaterally","Procurement exposure where providers reprice tokens, tiers, or context windows unilaterally",Original,,active,
AIRM-169,11. Financial & Resource,Investment / procurement,"Cyber or liability insurance excludes, sub-limits, or reprices AI-related losses, or defines 'user' in terms that exclude non-human actors","Insurance excludes AI losses, or defines 'user' as human only",CSA HF post-mortem; Original,→8,active,
AIRM-170,11. Financial & Resource,Scaling & resource constraints,Compute / GPU scarcity constraining scaling,Compute / GPU scarcity constraining scaling,Original,,active,
AIRM-171,11. Financial & Resource,Scaling & resource constraints,Cost non-linearity as usage scales to production volume,Cost non-linearity as usage scales to production volume,Original,,active,
AIRM-172,11. Financial & Resource,Scaling & resource constraints,Concentration of compute supply among few providers,Concentration of compute supply among few providers,IAISR; Original,→9,active,
AIRM-173,12. Autonomy & Delegated Action (Agentic AI),"Autonomy, alignment & oversight",Agent pursues unintended goals or misgeneralizes its objective,Agent pursues unintended goals or misgeneralizes its objective,IAISR; OWASP ASI T6,,active,
AIRM-174,12. Autonomy & Delegated Action (Agentic AI),"Autonomy, alignment & oversight",Agent pursues an authorized objective through unauthorized means,Agent pursues an authorized objective through unauthorized means,OpenAI 2026 incident; IAISR,,active,
AIRM-175,12. Autonomy & Delegated Action (Agentic AI),"Autonomy, alignment & oversight",Excessive autonomy / agency beyond intended mandate,Excessive autonomy / agency beyond intended mandate,OWASP LLM06; DASF 9.13,,active,
AIRM-176,12. Autonomy & Delegated Action (Agentic AI),"Autonomy, alignment & oversight",No human checkpoint or working interrupt / kill switch for an agent mid-task,No human checkpoint or working interrupt / kill switch for an agent mid-task,EU Art 14; OWASP ASI,→6,active,
AIRM-177,12. Autonomy & Delegated Action (Agentic AI),Tool access & authorization,Agent granted a broader set of invokable tools / functions than its task requires,Agent granted a broader set of invokable tools / functions than its task requires,OWASP LLM06 / ASI,→5,active,
AIRM-178,12. Autonomy & Delegated Action (Agentic AI),Tool access & authorization,"Agent identity misuse, impersonation, or delegated-credential abuse","Agent identity misuse, impersonation, or delegated-credential abuse",OWASP ASI T9; DASF 13.9,,active,
AIRM-179,12. Autonomy & Delegated Action (Agentic AI),Tool access & authorization,Third-party tool and connector servers adopted as a credentialed execution surface without the vetting applied to models or libraries,Third-party tool/connector servers as an unvetted execution surface,OWASP AISVS C10.1 / AC.2; CSA AICM,,active,
AIRM-180,12. Autonomy & Delegated Action (Agentic AI),Memory & context integrity,Memory poisoning corrupting agent state across sessions,Memory poisoning corrupting agent state across sessions,OWASP ASI T1; DASF 13.1; ATLAS AML.T0080.000; Original,,active,
AIRM-181,12. Autonomy & Delegated Action (Agentic AI),Memory & context integrity,Context-window manipulation altering agent behavior,Context-window manipulation altering agent behavior,OWASP ASI; OWASP LLM01,,active,
AIRM-182,12. Autonomy & Delegated Action (Agentic AI),Memory & context integrity,Persistence of corrupted or sensitive data in agent memory,Persistence of corrupted or sensitive data in agent memory,OWASP ASI; OWASP AISVS 8.3; Original,,active,
AIRM-183,12. Autonomy & Delegated Action (Agentic AI),Multi-agent orchestration,Cascading failures or loops across interacting agents,Cascading failures or loops across interacting agents,OWASP ASI T5; MIT 7.6,,active,
AIRM-184,12. Autonomy & Delegated Action (Agentic AI),Multi-agent orchestration,Misplaced inter-agent trust or agent collusion,Misplaced inter-agent trust or agent collusion,OWASP ASI T13; MIT 7.6,,active,
AIRM-185,12. Autonomy & Delegated Action (Agentic AI),Multi-agent orchestration,"Emergent, unpredictable behavior in multi-agent systems","Emergent, unpredictable behavior in multi-agent systems",IAISR; MIT 7.6,,active,
AIRM-186,12. Autonomy & Delegated Action (Agentic AI),Action integrity & traceability,"Unsafe, unauthorized, or irreversible real-world actions taken by an agent via tool, API, or code execution",Unsafe or irreversible real-world action taken by an agent,OWASP ASI T2; DASF 13.2; Original,,active,
AIRM-187,12. Autonomy & Delegated Action (Agentic AI),Action integrity & traceability,Accountability gap for harm caused by autonomous action,Accountability gap for harm caused by autonomous action,Databricks AIGF; Original,"→1,8",active,
